"Id","ProcessName","Path","StartTime","WorkingSetMB","PrivateMemoryMB","VirtualMemoryMB","PagedMemoryMB","CpuSeconds","Responding"
"9140","svchost","C:\WINDOWS\system32\svchost.exe","01-06-2026 10:48:51","1.8","2.13","2101355.5","2.13","0.34","True"
"3968","svchost",,,"1.74","1.66","2101329.44","1.66",,"True"
"3760","svchost",,,"1.71","2.64","2101351.19","2.64",,"True"
"21924","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","01-06-2026 11:19:07","1.71","1.64","2101349.89","1.64","0.42","True"
"3660","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:58","1.7","10.55","2150759.02","10.55","0.14","True"
"127912","svchost",,,"1.62","1.39","2101329.39","1.39",,"True"
"1236","winlogon",,,"1.62","2.8","2101387.73","2.8",,"True"
"10784","wlanext",,,"1.6","1.65","2101317.55","1.65",,"True"
"17336","dllhost","C:\WINDOWS\system32\DllHost.exe","01-06-2026 12:42:27","1.59","1.52","2101333.05","1.52","0.05","True"
"1292","LsaIso",,,"1.59","1.35","4146.59","1.35",,"True"
"2564","svchost",,,"1.58","2.27","2101340.54","2.27",,"True"
"6448","SECOMN64",,,"1.56","12.26","4223.99","12.26",,"True"
"1556","WUDFHost",,,"1.54","1.93","2101321.78","1.93",,"True"
"7144","mysqld",,,"1.54","555.02","4823.35","555.02",,"True"
"5936","ELAN_MOC_Service",,,"1.47","1.36","4163.88","1.36",,"True"
"3752","svchost",,,"1.38","1.48","2101332.45","1.48",,"True"
"35640","OpenConsole","c:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\8761a5560c\resources\app\node_modules\node-pty\build\Release\conpty\OpenConsole.exe","01-06-2026 12:20:15","1.28","2.27","2101395.37","2.27","0.86","True"
"35532","OpenConsole","c:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\8761a5560c\resources\app\node_modules\node-pty\build\Release\conpty\OpenConsole.exe","01-06-2026 12:20:11","1.24","2.27","2101395.37","2.27","0.42","True"
"1900","svchost",,,"1.21","1.33","2101326.45","1.33",,"True"
"11736","svchost",,,"1.16","1.77","2101336.73","1.77",,"True"
"5164","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:50:08","1.16","2.86","2199796.32","2.86","0.42","True"
"13860","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:49:06","1.14","2.86","2199793.37","2.86","0.59","True"
"20412","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:02:04","1.04","1.33","2101341.39","1.33","32.3","True"
"18352","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 15:00:22","0.99","44.14","3522553.14","44.14","1.05","True"
"10080","SECOCL64","C:\WINDOWS\System32\SECOCL64.exe","01-06-2026 10:48:53","0.98","2.38","4219.39","2.38","0.38","True"
"10284","svchost",,,"0.94","1.46","2101326.97","1.46",,"True"
"1936","svchost",,,"0.93","1.32","2101327.86","1.32",,"True"
"1128","wininit",,,"0.88","1.63","2101333.93","1.63",,"True"
"8424","ETDCtrl","C:\WINDOWS\system32\ETDCtrl.exe","01-06-2026 10:48:49","0.82","6.93","4241.73","6.93","0.8","True"
"1324","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:46","0.78","1.69","2101369","1.69","0.08","True"
"5348","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:46","0.77","1.58","2101369","1.58","0.19","True"
"7836","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:46","0.76","1.69","2101369","1.69","0.09","True"
"8028","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:46","0.7","1.58","2101369","1.58","0.14","True"
"5976","esif_uf",,,"0.66","1.92","2101318.11","1.92",,"True"
"18084","docker-sandbox","C:\Program Files\Docker\cli-plugins\docker-sandbox.exe","01-06-2026 11:01:43","0.59","25.54","5317.73","25.54","0.14","True"
"4140","NetworkCap",,,"0.57","4.02","2101359.62","4.02",,"True"
"19824","OpenConsole","c:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\8761a5560c\resources\app\node_modules\node-pty\build\Release\conpty\OpenConsole.exe","01-06-2026 11:02:02","0.52","2.25","2101395.38","2.25","0.12","True"
"7344","conhost",,,"0.47","1.61","2101331.97","1.61",,"True"
"11732","AdobeCollabSync","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe","01-06-2026 11:00:02","0.42","7.31","2101436.88","7.31","0.34","True"
"1464","fontdrvhost",,,"0.4","3.36","2101417.56","3.36",,"True"
"6536","svchost",,,"0.39","1.35","2101327.75","1.35",,"True"
"35824","bash","C:\Program Files\Git\bin\bash.exe","01-06-2026 12:20:15","0.32","1.64","4197.61","1.64","0.03","True"
"35664","bash","C:\Program Files\Git\bin\bash.exe","01-06-2026 12:20:12","0.31","1.64","4197.61","1.64","0.03","True"
"15572","Docker Desktop","C:\Program Files\Docker\Docker\Docker Desktop.exe","01-06-2026 11:01:42","0.28","45.68","5316.08","45.68","0.06","True"
"5952","ETDService",,,"0.23","1.55","4172.06","1.55",,"True"
"13944","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:50:08","0.21","181.3","3694849.64","181.3","88.61","True"
"12300","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:42","0.16","1.18","2101341.4","1.18","0.03","True"
"11528","SentryEye",,,"0.15","69.62","2101426.08","69.62",,"True"
"672","smss",,,"0.13","1.23","2101303.29","1.23",,"True"
"9936","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 10:48:53","0.12","1.24","2101341.39","1.24","0.05","True"
"1456","fontdrvhost",,,"0.07","1.88","2101321.39","1.88",,"True"
"116256","AppVShNotify","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe","01-06-2026 19:19:52","0.02","1.85","2101352.55","1.85","0.02","True"
"17248","RtkAudUService64","C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_5b7acb8ae279027d\RtkAudUService64.exe","01-06-2026 10:49:21","0.02","8.3","4257.28","8.3","4.14","True"
"1252","AcrobatNotificationClient","C:\Program Files\WindowsApps\ReaderNotificationClient_1.0.4.0_x86__e1rzdqpraam7r\AcrobatNotificationClient.exe","01-06-2026 10:50:35","0.02","43.64","335.35","43.64","0.38","True"
"0","Idle",,,"0.01","0.06","0.01","0.06",,"True"
"9676","wsl","C:\WINDOWS\System32\wsl.exe","01-06-2026 11:01:43","0.01","1.11","2101313.79","1.11","0.02","True"
"17016","SystemSettings","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","01-06-2026 13:09:04","0.01","125.87","2105255.1","125.87","4.22","False"
"14388","LockApp","C:\WINDOWS\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe","01-06-2026 13:10:33","0.01","61.04","2101751.85","61.04","7.84","True"
"38644","ShellExperienceHost","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","01-06-2026 12:31:38","0.01","73.13","2101803.55","73.13","2.94","True"
"4680","wsl","C:\WINDOWS\System32\wsl.exe","01-06-2026 11:01:43","0.01","1.11","2101313.79","1.11","0.05","True"
"14884","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 15:00:20","0.01","73.55","3538944.14","73.55","1.81","True"
"6368","Video.UI","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.26041.10031.0_x64__8wekyb3d8bbwe\Video.UI.exe","01-06-2026 11:19:06","0.01","55.42","2101881.77","55.42","0.31","True"
"10408","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:50:08","0.01","11.78","2249311.48","11.78","1.48","True"
"2400","IntelCpHDCPSvc",,,"0","1.3","2101320.78","1.3",,"True"
"9308","BraveCrashHandler64",,,"0","1.76","4187.72","1.76",,"True"
"5360","BraveCrashHandler",,,"0","1.74","52.76","1.74",,"True"
"5052","ibtsiva",,,"0","1.33","2101311.55","1.33",,"True"
"6944","jhi_service",,,"0","1.39","2101326.01","1.39",,"True"
"39988","dasHost",,,"0","1.18","2101304.66","1.18",,"True"
"5896","armsvc",,,"0","1.76","69.66","1.76",,"True"
"6608","RstMwService",,,"0","2.17","2101342.19","2.17",,"True"
"6328","mysqld",,,"0","32.7","4261.89","32.7",,"True"
