"Id","ProcessName","Path","StartTime","WorkingSetMB","PrivateMemoryMB","VirtualMemoryMB","PagedMemoryMB","CpuSeconds","Responding"
"9060","svchost","C:\WINDOWS\system32\svchost.exe","01-06-2026 10:48:51","34.28","10.7","2101406.43","10.7","2.11","True"
"6624","wslservice",,,"33.32","7.72","2101420.79","7.72",,"True"
"1308","lsass",,,"33.23","11.31","2101404.98","11.31",,"True"
"17196","svchost",,,"33.2","27.6","2101400.44","27.6",,"True"
"3660","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:58","32.97","10.51","2150783.02","10.51","0.02","True"
"10996","BridgeCommunication","C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_db0ee1e66e6d408e\x64\BridgeCommunication.exe","01-06-2026 10:51:07","32.63","5.75","2101403.61","5.75","0.19","True"
"14836","ctfmon",,"01-06-2026 10:49:08","32.13","6.75","2101406.25","6.75","1.23","True"
"9492","svchost",,,"32.09","31.56","2101469.4","31.56",,"True"
"13108","WidgetService","C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.18.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe","01-06-2026 10:49:04","32","5.39","2101423.51","5.39","1.05","True"
"3548","SDXHelper","C:\Program Files\Microsoft Office\Root\Office16\SDXHelper.exe","01-06-2026 11:03:52","32","14.03","2101488.62","14.03","3.44","True"
"1572","com.docker.build","C:\Program Files\Docker\Docker\resources\com.docker.build.exe","01-06-2026 11:01:43","31.77","24.82","5364.18","24.82","0.2","True"
"4164","svchost",,,"30.58","16.34","2101400.05","16.34",,"True"
"3924","AppHelperCap",,,"29.03","8.1","2101382.06","8.1",,"True"
"3708","DiagsCap",,,"28.93","26.6","2101395.04","26.6",,"True"
"9668","HPEnhancedLighting.Bg","C:\Program Files\WindowsApps\AD2F1837.HPEnhance_1.4.4.0_x64__v10z8vjag6ke6\Win32\HPEnhancedLighting.Bg.exe","01-06-2026 10:51:13","28.89","27.88","4783.32","27.88","0.11","True"
"5920","svchost",,,"28.21","16.61","2101687.43","16.61",,"True"
"11528","SentryEye",,,"28.07","69.62","2101426.09","69.62",,"True"
"3156","svchost",,,"27.52","7.86","2101376.57","7.86",,"True"
"2556","OverlayHelper",,"01-06-2026 10:48:51","27.32","50.74","4833.22","50.74","7.05","True"
"6548","svchost",,,"26.65","4.44","2101383.52","4.44",,"True"
"12120","vmwp",,,"26.55","12","2101382.35","12",,"True"
"13412","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","01-06-2026 10:50:42","26.39","3.45","2101396.29","3.45","0.16","True"
"3352","svchost",,,"26.16","15.11","2101404.81","15.11",,"True"
"3332","svchost",,,"26.14","10.13","2101516.48","10.13",,"True"
"16240","svchost",,,"25.96","5.22","2101376.84","5.22",,"True"
"8316","svchost",,,"25.95","4.18","2101379.05","4.18",,"True"
"18084","docker-sandbox","C:\Program Files\Docker\cli-plugins\docker-sandbox.exe","01-06-2026 11:01:43","25.58","25.59","5321.73","25.59","0.03","True"
"4032","dasHost",,,"25.5","6.77","2101373.74","6.77",,"True"
"6068","HPCommRecovery",,,"25.49","18.48","4662.28","18.48",,"True"
"11888","SearchIndexer",,,"25.08","11.29","2101393.68","11.29",,"True"
"9356","fshoster64","C:\Program Files (x86)\Safe Online\x64\fshoster64.exe","01-06-2026 10:48:51","24.69","4.25","2101411.48","4.25","1.42","True"
"4560","WUDFHost",,,"24.68","9.59","2101374.63","9.59",,"True"
"6032","fshoster64",,,"23.98","6.57","2101393.2","6.57",,"True"
"5368","svchost",,,"23.74","6.89","2101401.98","6.89",,"True"
"16520","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","01-06-2026 10:50:42","23.48","2.89","2101388.32","2.89","0.09","True"
"12864","svchost","C:\WINDOWS\system32\svchost.exe","01-06-2026 10:49:03","23.19","3.62","2101402.23","3.62","0.23","True"
"9348","svchost",,,"23.17","6.61","2101396.03","6.61",,"True"
"5272","WmiPrvSE",,,"23.09","11.46","2101352.41","11.46",,"True"
"1732","mcafee-security-ft","C:\Program Files\WindowsApps\5A894077.McAfeeSecurity_2.1.68.0_x64__wafk5atnkzcwy\Win32\mcafee-security-ft.exe","01-06-2026 10:50:43","23.08","3.01","4257.97","3.01","0.08","True"
"2988","svchost","C:\WINDOWS\system32\svchost.exe","01-06-2026 10:49:01","22.68","3.4","2101389","3.4","0.17","True"
"9948","svchost",,,"22.63","4.95","2101373.24","4.95",,"True"
"14100","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","01-06-2026 10:50:36","22.07","3.05","2101386.11","3.05","0.05","True"
"3612","svchost",,,"21.86","22.43","2101373.71","22.43",,"True"
"2684","svchost",,,"21.84","3.6","2101368.34","3.6",,"True"
"4752","svchost",,,"21.67","8.55","2101373.12","8.55",,"True"
"2508","svchost",,,"21.5","6.55","2101366.41","6.55",,"True"
"5540","svchost",,,"21.34","4.35","2101383.14","4.35",,"True"
"6392","RtkAudUService64",,,"20.84","7.89","4242.2","7.89",,"True"
"1236","winlogon",,,"20.71","2.75","2101387.55","2.75",,"True"
"8308","taskhostw","C:\WINDOWS\system32\taskhostw.exe","01-06-2026 10:48:51","20.37","7.62","2101505.11","7.62","0.48","True"
"4340","svchost",,,"19.56","4.21","2101502.56","4.21",,"True"
"8424","ETDCtrl","C:\WINDOWS\system32\ETDCtrl.exe","01-06-2026 10:48:49","19.47","6.88","4241.73","6.88","0.16","True"
"5684","spoolsv",,,"19.4","5.37","2101356.13","5.37",,"True"
"14784","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:49:11","19.33","10.09","2249311.46","10.09","0.12","True"
"10588","igfxEMN","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_5d2e576bb8443cb9\igfxEMN.exe","01-06-2026 10:48:57","19.17","4.09","2101393.76","4.09","2.28","True"
"4464","svchost",,,"19.16","4.95","2101358.5","4.95",,"True"
"3736","svchost",,,"19","3.34","2105548.82","3.34",,"True"
"1624","svchost",,,"18.9","9.21","2101345.69","9.21",,"True"
"5444","svchost",,,"18.88","4.23","2101374.86","4.23",,"True"
"656","svchost",,,"18.81","3.51","2101355.27","3.51",,"True"
"4208","svchost",,,"18.14","3.91","2101369.01","3.91",,"True"
"2696","svchost",,,"17.93","7.09","2101386.31","7.09",,"True"
"17236","svchost",,,"17.89","3.61","2101360.29","3.61",,"True"
"6448","SECOMN64",,,"17.81","8.67","4215.99","8.67",,"True"
"2188","svchost",,,"17.38","6.91","2101350.21","6.91",,"True"
"11928","RtkAudUService64",,,"17.19","4.03","4225.32","4.03",,"True"
"7384","dllhost","C:\WINDOWS\system32\DllHost.exe","01-06-2026 11:07:11","16.83","2.41","2101353.97","2.41","0.05","True"
"10688","svchost",,,"16.69","4.46","2101373.39","4.46",,"True"
"14008","svchost","C:\WINDOWS\system32\svchost.exe","01-06-2026 10:49:09","16.65","2.41","2101365.37","2.41","0.11","True"
"3672","svchost",,,"16.45","4.04","2101355.48","4.04",,"True"
"3804","svchost",,,"16.3","3.66","2101359.98","3.66",,"True"
"4140","NetworkCap",,,"16.21","3.83","2101359.62","3.83",,"True"
"11732","AdobeCollabSync","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe","01-06-2026 11:00:02","16.1","6.77","2101433.28","6.77","0.03","True"
"17828","svchost","C:\WINDOWS\system32\svchost.exe","01-06-2026 10:50:51","16.06","2.85","2101367.42","2.85","0.03","True"
"812","svchost",,,"16.06","3.77","2101348.99","3.77",,"True"
"5028","HPPrintScanDoctorService",,,"16.01","3.29","2101349.75","3.29",,"True"
"9256","svchost",,,"15.93","2.63","2101355.82","2.63",,"True"
"17856","svchost",,,"15.61","3.54","2101351.82","3.54",,"True"
"7892","svchost",,,"15.54","5.98","2101349.87","5.98",,"True"
"6264","svchost",,,"15.15","3","2102373.57","3",,"True"
"2172","svchost",,,"15","2.24","2101343.19","2.24",,"True"
"4056","igfxCUIServiceN",,,"14.68","2.61","2101347.23","2.61",,"True"
"1156","svchost","C:\WINDOWS\system32\svchost.exe","01-06-2026 10:50:06","14.59","1.84","2101358.09","1.84","0.02","True"
"9724","vmcompute",,,"14.57","2.67","2101319.33","2.67",,"True"
"8708","rundll32","C:\WINDOWS\System32\rundll32.exe","01-06-2026 10:48:49","14.28","2.33","2101367.16","2.33","0.09","True"
"8436","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:50:08","14.2","52.58","2299350","52.58","2.52","True"
"2040","svchost",,,"14.13","2.51","2101351.58","2.51",,"True"
"10552","wsl","C:\Program Files\WSL\wsl.exe","01-06-2026 11:01:43","13.98","2.42","2101379.06","2.42","0.02","True"
"10088","wsl","C:\Program Files\WSL\wsl.exe","01-06-2026 11:01:43","13.88","2.51","2101379.74","2.51","0.27","True"
"13620","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","01-06-2026 10:49:05","13.61","2.32","2101360.88","2.32","0.05","True"
"14048","svchost",,,"13.56","2.23","2101344.3","2.23",,"True"
"5364","wslhost","C:\Program Files\WSL\wslhost.exe","01-06-2026 11:01:46","13.55","2.39","2101377.87","2.39","0","True"
"5668","WmiPrvSE",,,"13.55","3.85","2101327.18","3.85",,"True"
"2148","svchost",,,"13.54","3.27","2101345.59","3.27",,"True"
"5164","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:50:08","13.42","2.86","2199796.32","2.86","0.06","True"
"2356","svchost",,,"13.31","2.35","2101354.87","2.35",,"True"
"1724","WUDFHost",,,"13.23","13.07","2101389.46","13.07",,"True"
"3940","svchost",,,"13.17","2.52","2101347.96","2.52",,"True"
"17124","smartscreen","C:\Windows\System32\smartscreen.exe","01-06-2026 11:01:42","13.1","2.68","2101374.67","2.68","0.03","True"
"17740","wslhost","C:\Program Files\WSL\wslhost.exe","01-06-2026 11:01:46","13.05","2.22","2101371.87","2.22","0.05","True"
"2784","svchost",,,"12.96","3.27","2101353.64","3.27",,"True"
"3268","svchost",,,"12.94","2.8","2101341.89","2.8",,"True"
"14744","wslhost","C:\Program Files\WSL\wslhost.exe","01-06-2026 11:01:46","12.83","2.16","2101371.82","2.16","0.02","True"
